Year,Under 6,Under 18,18-64,18-64 Linear Extrapolation,65+,65+ Linear Extrapolation
2011-01-01,0.25,0.219,0.137,,0.087,
2010-01-01,0.258,0.22,0.138,,0.089,
2009-01-01,0.243,0.207,0.129,,0.089,
2008-01-01,0.217,0.19,0.117,,0.097,
2007-01-01,0.211,0.18,0.109,,0.097,
2006-01-01,0.2,0.174,0.108,,0.094,
2005-01-01,0.2,0.176,0.111,,0.101,
2004-01-01,0.2,0.178,0.113,,0.098,
2003-01-01,0.198,0.176,0.108,,0.102,
2002-01-01,0.185,0.167,0.106,,0.104,
2001-01-01,0.182,0.163,0.101,,0.101,
2000-01-01,0.178,0.162,0.096,,0.099,
1999-01-01,0.184,0.171,0.101,,0.097,
1998-01-01,0.206,0.189,0.105,,0.105,
1997-01-01,0.216,0.199,0.109,,0.105,
1996-01-01,0.227,0.205,0.114,,0.108,
1995-01-01,0.237,0.208,0.114,,0.105,
1994-01-01,0.245,0.218,0.119,,0.117,
1993-01-01,0.256,0.227,0.124,,0.122,
1992-01-01,0.257,0.223,0.119,,0.129,
1991-01-01,0.24,0.218,0.114,,0.124,
1990-01-01,0.23,0.206,0.107,,0.122,
1989-01-01,0.219,0.196,0.102,,0.114,
1988-01-01,0.218,0.195,0.105,,0.12,
1987-01-01,0.223,0.203,0.106,,0.125,
1986-01-01,0.216,0.205,0.108,,0.124,
1985-01-01,0.226,0.207,0.113,,0.126,
1984-01-01,0.234,0.215,0.117,,0.124,
1983-01-01,0.246,0.223,0.124,,0.138,
1982-01-01,0.233,0.219,0.12,,0.146,
1981-01-01,0.22,0.2,0.111,,0.153,
1980-01-01,0.203,0.183,0.101,,0.157,
1979-01-01,0.179,0.164,0.089,,0.152,
1978-01-01,0.172,0.159,0.087,,0.14,
1977-01-01,0.181,0.162,0.088,,0.141,
1976-01-01,0.177,0.16,0.09,,0.15,
1975-01-01,0.182,0.171,0.092,,0.153,
1974-01-01,0.169,0.154,0.083,,0.146,
1973-01-01,0.157,0.144,0.083,,0.163,
1972-01-01,0.161,0.151,0.088,,0.186,
1971-01-01,0.169,0.153,0.093,,0.216,
1970-01-01,0.166,0.151,0.09,,0.246,
1969-01-01,0.153,0.14,0.087,,0.253,
1968-01-01,,0.156,0.09,,0.25,
1967-01-01,,0.166,0.1,,0.295,
1966-01-01,,0.176,0.105,0.105,0.285,0.285
1965-01-01,,0.21,,0.11428571428571,,0.29457142857143
1964-01-01,,0.23,,0.12357142857143,,0.30414285714286
1963-01-01,,0.231,,0.13285714285714,,0.31371428571429
1962-01-01,,0.25,,0.14214285714286,,0.32328571428571
1961-01-01,,0.256,,0.15142857142857,,0.33285714285714
1960-01-01,,0.269,0.161,0.16071428571429,0.342,0.34242857142857
1959-01-01,,0.273,0.17,0.17,0.352,0.352
